[00:03:14] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:03:14] Geumeon,Apollo,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:05:16] 316.17,HOUSE,Tracer,809.58,0,0,436.18,1,2,2,0,0,0,0,0,1,0,0,100,0,0,102.33,150,Player Log
[00:05:16] 316.98,RAT,Brigitte,846.66,0,411.50,658.10,0,3,1,0,1,2003.54,2,1,1,1,0,0,0,0,300,300,Player Log
[00:05:17] 317.66,FinalBlow,mmmatt,ENIGMA,Primary Fire
[00:05:17] 317.78,ENIGMA,Ana,356,0,0,1277.13,2,0,0,0,0,2498.09,0,0,1,1,0,3,11.93,6.24,0,200,Player Log
[00:05:18] 318.11,FinalBlow,HOUSE,LiamFox,Melee
[00:05:18] 318.58,Chappadoodle,D.Va,938.89,650.42,861,2019.46,1,2,0,1,0,0,1,0,0,0,0,88,1.50,0,609.75,650,Player Log
[00:05:19] 319.38,Bunny,Sombra,1775.34,260.77,0,850.67,1,3,1,0,0,0,1,0,1,1,0,6,0,5.75,115,200,Player Log
[00:05:20] 320.17,mmmatt,Tracer,1773.47,80.30,0,734.40,1,2,2,0,0,0,0,0,1,1,0,61,0,0,105.10,150,Player Log
[00:05:20] 320.98,Muttnik,Zenyatta,768,384,0,647.85,2,1,0,0,0,603.85,1,0,0,0,0,73,0,0,200,200,Player Log
[00:05:21] 321.77,LiamFox,Ana,640.73,336.01,0,527.04,2,1,1,0,0,1248.21,0,0,1,0,0,100,6.68,1.68,0,200,Player Log
[00:05:22] 322.08,FinalBlow,HOUSE,mmmatt,Primary Fire
[00:05:22] Hybrid,322.56,False,42.93,0,0,MG Log
[00:05:22] 0,1,0,0,Information Log
[00:05:22] 322.59,Geumeon,Winston,971.84,0,1300.00,2433.08,1,4,1,0,0,0,1,0,0,0,0,81,1.85,0,552.35,580,Player Log
[00:05:23] 323.38,Apollo,Cassidy,1518.52,0,0,1070.44,0,5,1,0,0,0,3,0,1,0,0,100,0,1.51,325,325,Player Log
[00:05:24] 324.17,HOUSE,Tracer,1006.03,0,0,528.68,1,4,4,0,0,0,1,0,1,0,0,100,0,0,165,165,Player Log
