[00:01:45] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:01:45] Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0,Geumeon,Apollo,HOUSE,RAT,ENIGMA,0
[00:03:40] 220.46,LiamFox,Ana,375.50,144.60,0,369.27,1,2,0,0,0,2230.29,2,0,1,1,0,8,0,0,200,200,Player Log
[00:03:41] 221.26,Geumeon,Winston,1399.58,0,2452,2565.13,1,2,0,0,0,0,1,0,0,0,0,96,1.18,0,502.76,550,Player Log
[00:03:42] 222.06,Apollo,Cassidy,1461.85,0,0,522.35,1,1,1,0,0,0,1,0,0,0,0,92,5.79,0,225,225,Player Log
[00:03:42] 222.86,HOUSE,Tracer,910.16,0,0,488.96,1,2,1,0,0,0,1,0,1,0,0,100,0,0,143.46,150,Player Log
[00:03:43] 223.66,RAT,Brigitte,108.50,0,1255.33,894.39,1,0,0,0,0,1718.65,0,0,0,0,0,77,0,0,0,200,Player Log
[00:03:44] 224.46,ENIGMA,Ana,459.51,0,0,475.75,1,0,0,0,0,1641.94,0,0,1,0,0,100,0,0,200,200,Player Log
[00:03:45] Hybrid,225.25,False,33.33,0,0,MG Log
[00:03:45] 0,1,0,0,Information Log
[00:03:45] 225.29,Chappadoodle,D.Va,2089.93,1735.16,1187.50,2807.93,0,4,2,0,0,0,0,0,1,0,0,100,0.70,0,650,650,Player Log
[00:03:46] 226.06,Bunny,Hanzo,899.54,999.46,0,552.37,0,3,1,0,0,0,1,0,0,0,0,85,10.19,0,196.70,200,Player Log
[00:03:46] 226.86,mmmatt,Tracer,965.48,502.52,0,288.08,1,5,1,0,0,0,2,0,1,0,0,100,0,0,150,150,Player Log
[00:03:47] 227.66,Muttnik,Zenyatta,616.14,325.60,0,349.59,0,3,1,0,0,1340.31,1,0,0,0,0,95,0,0,200,200,Player Log
[00:03:48] 228.46,LiamFox,Ana,375.50,144.60,0,369.27,1,2,0,0,0,2307.94,2,0,1,1,0,12,0,0,200,200,Player Log
[00:03:49] 229.26,Geumeon,Winston,1399.58,0,2452,2565.13,1,2,0,0,0,0,1,0,0,0,0,98,0,0,550,550,Player Log
[00:03:50] 230.06,Apollo,Cassidy,1461.85,0,0,522.35,1,1,1,0,0,0,1,0,0,0,0,95,0,0,225,225,Player Log
[00:03:50] 230.86,HOUSE,Tracer,913.46,0,0,488.96,1,2,1,0,0,0,1,0,1,0,0,100,0,0,143.46,150,Player Log
[00:03:51] 231.66,RAT,Brigitte,108.50,0,1255.33,894.39,1,0,0,0,0,1718.65,0,0,0,0,0,79,0,0,200,200,Player Log
[00:03:52] 232.46,ENIGMA,Ana,459.51,0,0,475.75,1,0,0,0,0,1641.94,0,0,1,0,0,100,0,0,200,200,Player Log
[00:03:53] Hybrid,233.25,False,33.33,0,0,MG Log
[00:03:53] 0,1,0,0,Information Log
[00:03:53] 233.29,Chappadoodle,D.Va,2089.93,1735.16,1187.50,2807.93,0,4,2,0,0,0,0,0,1,0,0,100,0,0,650,650,Player Log
[00:03:54] 234.06,Bunny,Hanzo,899.54,999.46,0,555.67,0,3,1,0,0,0,1,0,0,0,0,87,2.19,0,200,200,Player Log
[00:03:54] 234.86,mmmatt,Tracer,965.48,502.52,0,288.08,1,5,1,0,0,0,2,0,1,0,0,100,0,0,150,150,Player Log
