[00:01:12] Havana,DinnerTime,LeylineFirebird,0,8
[00:01:12] morning,Parallaxian,TOPSPEED,mobee01,Lex,0,Vulpie,Pocky,Dreamer,Raven,Snafucius,0
[00:03:06] 186.59,TOPSPEED,Mercy,0,0,0,451.77,0,0,0,0,0,1327.40,0,0,0,0,0,97,0,0,200,200,Player Log
[00:03:07] 187.39,mobee01,Ana,801.77,0,0,139.57,0,1,1,0,0,1113.22,0,0,1,0,0,100,0,3.59,200,200,Player Log
[00:03:08] 188.19,Lex,Ashe,1684.90,0,0,1070.77,2,2,0,0,0,0,0,0,0,0,0,78,1.93,0,0,200,Player Log
[00:03:08] 188.99,Vulpie,Wrecking Ball,1199.64,81.64,0,2755.30,1,1,0,0,0,0,0,0,1,0,0,100,0.25,6.10,610.94,700,Player Log
[00:03:09] 189.79,Pocky,Widowmaker,742.90,639.86,0,792.98,1,1,1,0,0,0,0,0,0,0,0,85,3.11,0,82.50,175,Player Log
[00:03:10] 190.59,Dreamer,Baptiste,649.38,700,0,542.07,0,1,0,0,0,1495.15,0,0,0,0,0,96,0,0,189.89,200,Player Log
[00:03:11] 191.39,Raven,Hanzo,406.25,613.60,0,834.26,0,2,1,0,0,0,1,1,0,0,0,56,0,0,181.52,200,Player Log
[00:03:12] 192.10,FinalBlow,mobee01,Pocky,Primary Fire
[00:03:12] 192.19,Snafucius,Zenyatta,1010.75,560.68,0,65,0,1,1,0,0,898.59,1,0,0,0,0,96,0,0,200,200,Player Log
[00:03:12] Escort,192.98,False,23.86,0,MG Log
[00:03:12] 0,1,0,0,Information Log
[00:03:13] 193.01,morning,Sigma,609.73,0,2595.78,1755.56,1,1,0,0,0,0,1,0,0,0,0,57,0,9.68,347.94,550,Player Log
[00:03:13] 193.79,Parallaxian,Hanzo,1945.33,0,0,726.31,0,1,1,0,0,0,0,0,1,1,0,6,4.39,0,196.55,200,Player Log
[00:03:14] 194.59,TOPSPEED,Mercy,0,0,0,451.77,0,0,0,0,0,1510.13,0,0,1,0,0,100,0,0,200,200,Player Log
[00:03:15] 195.39,mobee01,Ana,985.65,0,0,365.57,0,2,2,0,0,1483.78,0,0,1,1,0,0,9.18,8.75,154.76,200,Player Log
[00:03:16] 196.19,Lex,Ashe,1684.90,0,0,1070.77,2,2,0,0,0,0,0,0,0,0,0,80,0,0,200,200,Player Log
[00:03:16] 196.99,Vulpie,Wrecking Ball,1264.64,81.64,0,2908.80,1,1,0,0,0,0,0,0,1,0,0,100,0.45,0,457.44,700,Player Log
[00:03:17] 197.79,Pocky,Widowmaker,752.21,639.86,0,875.48,2,1,1,0,0,0,0,0,0,0,0,88,0,0,0,175,Player Log
[00:03:18] 198.59,Dreamer,Baptiste,649.38,925,0,662.01,0,1,0,0,0,1710.98,0,0,1,0,0,100,11.22,0,200,200,Player Log
[00:03:19] 199.39,Raven,Hanzo,585,719.86,0,900.97,0,2,1,0,0,0,1,1,0,0,0,66,5.71,2.74,200,200,Player Log
[00:03:20] 200.19,Snafucius,Zenyatta,1154.75,800.68,0,142.40,0,1,1,0,0,967.71,1,0,1,0,0,100,0,0,200,200,Player Log
[00:03:20] Escort,200.98,False,23.07,0,MG Log
[00:03:20] 0,1,0,0,Information Log
[00:03:21] 201.01,morning,Sigma,873.77,0,3294.78,1841.56,1,1,0,0,0,0,1,0,0,0,0,72,0,1.68,500,550,Player Log
[00:03:21] 201.79,Parallaxian,Hanzo,1945.33,0,0,726.31,0,1,1,0,0,0,0,0,1,1,0,8,9.97,6.42,200,200,Player Log
[00:03:22] 202.59,TOPSPEED,Mercy,0,0,0,451.77,0,0,0,0,0,1730.33,0,0,1,0,0,100,0.09,0,200,200,Player Log
[00:03:23] 203.39,mobee01,Ana,1207.46,0,0,425.57,0,2,2,0,0,1529.74,0,0,1,1,0,5,1.18,0.75,200,200,Player Log
[00:03:24] 204.19,Lex,Ashe,1684.90,0,0,1070.77,2,2,0,0,0,0,0,0,0,0,0,81,6.14,0,200,200,Player Log
[00:03:24] 204.99,Vulpie,Wrecking Ball,1324.64,81.64,0,3130.61,1,1,0,0,0,0,0,0,1,0,0,100,0,7.56,402.03,700,Player Log
